week number,average,std,Label
1,0.096,1.243153249,0
2,-0.062,0.579974137,1
3,-0.175,0.662746809,1
4,0.098,0.849099523,0
5,0.42,1.606782499,0
6,0.214,0.461226625,0
7,-0.6675,1.011743545,1
8,0.024,0.779442108,0
9,0.156,0.970376216,0
10,-0.288,0.790044303,1
11,-0.15,1.279120792,1
12,0.254,0.365554374,0
13,0.452,0.414813211,0
14,0.0925,0.753364675,0
15,0.172,0.744123646,0
16,-0.178,1.229845519,1
17,-0.624,0.676779137,1
18,0.136,0.108074049,0
19,0.494,0.363703176,0
20,0.654,2.234699085,0
21,-0.3975,1.4106352,1
22,0.198,0.661452946,0
23,0.296,0.870591753,0
24,1.222,1.318529484,0
25,-0.234,1.313955859,1
26,0.6575,0.747010709,0
27,-1.654,3.138053537,1
28,-0.582,1.712270423,1
29,-0.338,1.277329245,1
30,0.536,0.989282568,0
31,-0.572,1.130318539,1
32,-0.39,0.578402974,1
33,0.732,0.659674162,0
34,0.672,1.030422244,0
35,0.042,2.37052104,0
36,-0.7275,0.86988026,1
37,-0.124,1.232550202,1
38,0.244,0.947591684,0
39,-0.078,0.870241346,1
40,0.682,1.799588842,0
41,-1.37,1.007000497,1
42,-0.174,0.751851049,1
43,0.372,1.071806886,0
44,0.484,2.39685836,0
45,-0.566,2.357685306,1
46,1.616,3.988537326,0
47,1.0325,1.504490501,0
48,0.984,3.02159395,0
49,0.946,3.357153556,0
50,-0.014,2.483511627,1
51,-0.9625,3.772553291,1
52,-0.5,6.570941079,1
